,Village,Group ID,Member ID,Branch Name,Circle Name,Loan Amount,Product Type,Name of Model,Product Detail,Institution Name,Manufacturer Name,Loan Account Number,Loan Application Date,Product Installed Date,Document Signature Date,loan_id,household_id,product_id,branch_id,partner_id
10,Nigadi,914953,3,Dharwad,Nigadi,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,256160,2019-03-07T00:00:00+05:30,2019-03-13T00:00:00+05:30,2019-03-07T00:00:00+05:30,30-256160,914953-3,38.0,30.0,1
11,Mugalihal,66657,3,Saundatti,Sattigeri,8000,Solar Light Selco,EH2HLS,2 LED Light,SKDRDP,SELCO,106946,2018-07-25T00:00:00+05:30,2018-07-26T00:00:00+05:30,2018-07-25T00:00:00+05:30,49-106946,66657-3,35.0,47.0,1
12,Bijapur CMC,935375,4,Bijapur,VIJAYAPUR,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,118504,2018-11-15T000000+0530,2018-11-20T000000+0530,2018-11-15T000000+0530,158-118504,935375-4,38.0,146.0,1
13,"S/o Kollappa, Rechikoppa",750547,5,Shimoga,Kumsi,9500,Solar Light Selco,SB2HLS,2 CFL,SKDRDP,SELCO,696172,2018-09-25T00:00:00+05:30,2018-09-26T00:00:00+05:30,2018-09-25T00:00:00+05:30,23-696172,750547-5,43.0,23.0,1
14,Bijjaragi,937344,1,Bijapur,HONAWAD,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,130884,2019-04-16T00:00:00+05:30,2019-04-19T00:00:00+05:30,2019-04-16T00:00:00+05:30,158-130884,937344-1,38.0,146.0,1
15,Hosur,202279,3,Krishnarajnagara,Chunchanakatte,1240,Cook Stove GSSV3,GSSV3,,SKDRDP,Greenway Grameena Infra,80544,2017-09-29T00:00:00+05:30,2017-10-02T00:00:00+05:30,2017-09-29T00:00:00+05:30,71-80544,202279-3,37.0,68.0,1
16,Gattakamdenahalli,571333,10,Bangarpete,KGF,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,112551,2018-01-01T00:00:00+05:30,2018-01-10T00:00:00+05:30,2018-01-01T00:00:00+05:30,143-112551,571333-10,38.0,132.0,1
17,Nelamangala Kasabha,487240,1,Nelamangala,Dasanpura,10300,Solar Light Selco,SB2HLS,2 CFL,SKDRDP,SELCO,128154,2019-03-13T00:00:00+05:30,2019-03-14T00:00:00+05:30,2019-03-13T00:00:00+05:30,124-128154,487240-1,43.0,116.0,1
18,Madalur,44418,3,Sira,Shira,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,126532,2018-12-28T00:00:00+05:30,2019-01-02T00:00:00+05:30,2018-12-28T00:00:00+05:30,54-126532,44418-3,38.0,52.0,1
19,SECUNDRAPUR,920104,7,Bidar,ANADOOR,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,181923,2018-11-12T000000+0530,2018-11-16T000000+0530,2018-11-12T000000+0530,155-181923,920104-7,38.0,143.0,1
20,SAVANUR  A,140790,2,Shiggon,Savanur,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,83669,2018-06-30T00:00:00+05:30,2018-07-03T00:00:00+05:30,2018-06-30T00:00:00+05:30,33-83669,140790-2,38.0,33.0,1
21,Manjari,89741,6,Chikodi,Ankali,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,172615,2018-07-02T00:00:00+05:30,2018-07-02T00:00:00+05:30,2018-07-02T00:00:00+05:30,45-172615,89741-6,38.0,43.0,1
22,BHUDIHAL,63601,5,Bailahongal,Belavadi,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,137042,2018-09-17T00:00:00+05:30,2018-09-21T00:00:00+05:30,2018-09-17T00:00:00+05:30,50-137042,63601-5,38.0,48.0,1
23,Korwar,955363,6,Sindagi,Korawara,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,91392,2018-11-15T000000+0530,2018-11-22T000000+0530,2018-11-15T000000+0530,162-91392,955363-6,38.0,150.0,1
24,WARD NO. 18,596694,8,Channapatna,KOTE,15500,Solar Light Selco,SH4HLS,4 COMBI Light,SKDRDP,SELCO,164970,2019-01-09T00:00:00+05:30,2019-01-11T00:00:00+05:30,2019-01-09T00:00:00+05:30,148-164970,596694-8,50.0,137.0,1
25,Kekkera,997121,2,Shorapur,Kekkera,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,100699,2019-01-04T00:00:00+05:30,2019-01-08T00:00:00+05:30,2019-01-04T00:00:00+05:30,170-100699,997121-2,38.0,158.0,1
26,Gangavathi,298340,12,Gangavathi,Gangavathi,20000,Solar Light Selco,SB4HLS,4 CFL,SKDRDP,SELCO,202234,2019-03-15T00:00:00+05:30,2019-03-18T00:00:00+05:30,2019-03-15T00:00:00+05:30,85-202234,298340-12,44.0,82.0,1
27,LAKSHMIPURA,592059,6,Ramanagara,KOOTAGAL,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,602883,2018-09-22T00:00:00+05:30,2018-09-24T00:00:00+05:30,2018-09-22T00:00:00+05:30,147-602883,592059-6,38.0,136.0,1
28,K.Bevinahalli,267294,6,Harihara,HARIHARA BYPASS,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,162175,2018-09-07T00:00:00+05:30,2018-09-12T00:00:00+05:30,2018-09-07T00:00:00+05:30,92-162175,267294-6,38.0,89.0,1
29,"S/o Ganapathi,Maradi Hodala/Aralapura",774610,5,Tirthahalli,Araga,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,455193,2018-09-20T00:00:00+05:30,2018-09-26T00:00:00+05:30,2018-09-20T00:00:00+05:30,21-455193,774610-5,38.0,21.0,1
30,Saraswathapura,104780,5,Dharwad,Nuggikeri,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,254337,2019-02-26T00:00:00+05:30,2019-03-01T00:00:00+05:30,2019-02-26T00:00:00+05:30,30-254337,104780-5,38.0,30.0,1
31,Chabbi,186475,5,Hubli,Chabbi,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,381860,2019-03-17T00:00:00+05:30,2019-03-19T00:00:00+05:30,2019-03-17T00:00:00+05:30,31-381860,186475-5,38.0,31.0,1
32,Sathooru,1065019,3,Dharwad,Vidyagiri,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,247042,2018-12-28T00:00:00+05:30,2019-01-04T00:00:00+05:30,2018-12-28T00:00:00+05:30,30-247042,1065019-3,38.0,30.0,1
33,Dadgi,931873,5,Bhalki,Dadagi,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,102249,2018-11-19T000000+0530,2018-11-20T000000+0530,2018-11-19T000000+0530,157-102249,931873-5,38.0,145.0,1
34,CHAMBOOL,920218,4,Bidar,JANAWADA,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,119480,2018-08-29T00:00:00+05:30,2018-09-03T00:00:00+05:30,2018-08-29T00:00:00+05:30,155-119480,920218-4,38.0,143.0,1
35,KASABA,371387,9,Channarayapatna,KASABA.A,9000,Solar Light Selco,EH2HLS,2 LED Light,SKDRDP,SELCO,185161,2018-02-11T00:00:00+05:30,2018-02-12T00:00:00+05:30,2018-02-11T00:00:00+05:30,101-185161,371387-9,35.0,93.0,1
36,Rajankollur,997294,1,Shorapur,Hunsgi,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,101462,2019-01-11T00:00:00+05:30,2019-01-18T00:00:00+05:30,2019-01-11T00:00:00+05:30,170-101462,997294-1,38.0,158.0,1
37,Lakhanapura,1045405,4,Chikodi,Akkol,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,167064,2018-06-05T00:00:00+05:30,2018-06-11T00:00:00+05:30,2018-06-05T00:00:00+05:30,45-167064,1045405-4,38.0,43.0,1
38,Maddur,398001,7,Maddur,MADDUR,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,199540,2018-12-31T00:00:00+05:30,2019-01-07T00:00:00+05:30,2018-12-31T00:00:00+05:30,106-199540,398001-7,38.0,98.0,1
39,Ramapete,45847,12,Pavagada,NAGALAMADIKE,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,68057,2018-09-20T00:00:00+05:30,2018-09-25T00:00:00+05:30,2018-09-20T00:00:00+05:30,53-68057,45847-12,38.0,51.0,1
40,Mahathinagara,914846,10,Dharwad,Muraghamutt,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,210354,2018-09-17T00:00:00+05:30,2018-09-19T00:00:00+05:30,2018-09-17T00:00:00+05:30,30-210354,914846-10,38.0,30.0,1
41,Sampige Hosahalli,20545,16,Turuvekere,Kondajji,12500,Solar Light Selco,EH4HLS,4 LED Light,SKDRDP,SELCO,108708,2018-06-09T00:00:00+05:30,2018-06-14T00:00:00+05:30,2018-06-09T00:00:00+05:30,58-108708,20545-16,36.0,56.0,1
42,jangamakote,556307,6,Shidlaghatta,Jangamakote,1240,Cook Stove GSSV3,GSSV3,,SKDRDP,Greenway Grameena Infra,44214,2017-09-29T00:00:00+05:30,2017-10-06T00:00:00+05:30,2017-09-29T00:00:00+05:30,140-44214,556307-6,37.0,129.0,1
43,Manvi,455267,16,Manvi,Manvi,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,96561,2018-07-12T00:00:00+05:30,2018-07-13T00:00:00+05:30,2018-07-12T00:00:00+05:30,118-96561,455267-16,38.0,110.0,1
44,Santoshnagar,108241,9,Hubli,GopanaKoppa,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,375688,2019-02-27T00:00:00+05:30,2019-03-07T00:00:00+05:30,2019-02-27T00:00:00+05:30,31-375688,108241-9,38.0,31.0,1
45,Byalhalli,931292,5,Bhalki,Halabarga,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,104543,2019-01-17T00:00:00+05:30,2019-01-21T00:00:00+05:30,2019-01-17T00:00:00+05:30,157-104543,931292-5,38.0,145.0,1
46,Binthravalli,850910,9,Koppa,Koppa Kasaba,13800,Solar Light Selco,EH4HLS,4 LED Light,SKDRDP,SELCO,279181,2018-02-12T00:00:00+05:30,2018-02-16T00:00:00+05:30,2018-02-12T00:00:00+05:30,22-279181,850910-9,36.0,22.0,1
47,Mushigeri,1035050,1,Rona,Gajendragada,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,126258,2019-03-14T00:00:00+05:30,2019-03-20T00:00:00+05:30,2019-03-14T00:00:00+05:30,36-126258,1035050-1,38.0,36.0,1
48,KONDASHETTIHALLI,580579,2,Malur,Tekal,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,162979,2019-03-14T00:00:00+05:30,2019-03-14T00:00:00+05:30,2019-03-14T00:00:00+05:30,145-162979,580579-2,38.0,134.0,1
49,MANNAHALLI,411879,4,Nagamangala,BRAMADEVARA HALLI,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,122281,2018-08-29T00:00:00+05:30,2018-09-04T00:00:00+05:30,2018-08-29T00:00:00+05:30,109-122281,411879-4,38.0,101.0,1
50,Hundrangi,207288,3,Arkalgud,KONANUR,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,197834,2019-03-16T00:00:00+05:30,2019-03-18T00:00:00+05:30,2019-03-16T00:00:00+05:30,68-197834,207288-3,38.0,65.0,1
51,SRI RAMPURA,216454,3,Mysore,J P NAGAR,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,182692,2018-07-10T00:00:00+05:30,2018-07-13T00:00:00+05:30,2018-07-10T00:00:00+05:30,70-182692,216454-3,38.0,67.0,1
52,Masur,162101,1,Hirekerur,Masur,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,82904,2018-09-20T00:00:00+05:30,2018-09-24T00:00:00+05:30,2018-09-20T00:00:00+05:30,64-82904,162101-1,38.0,61.0,1
53,Savanoor,620941,1,Puttur,Savanoor,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,467236,2018-11-03T000000+0530,2018-11-07T000000+0530,2018-11-03T000000+0530,5-467236,620941-1,38.0,5.0,1
54,Mamadapur K.L,88859,1,Chikodi,Akkol,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,168591,2018-06-18T00:00:00+05:30,2018-06-18T00:00:00+05:30,2018-06-18T00:00:00+05:30,45-168591,88859-1,38.0,43.0,1
55,BOVI NAGARA,577199,2,Mulubagilu,MULBAGAL,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,166585,2018-11-13T000000+0530,2018-11-19T000000+0530,2018-11-13T000000+0530,144-166585,577199-2,38.0,133.0,1
56,DYAPEGOWDANADODDI,600795,2,Kanakapura,KANAKAPURA,1240,Cook Stove GSSV3,GSSV3,,SKDRDP,Greenway Grameena Infra,109964,2017-11-29T00:00:00+05:30,2017-12-01T00:00:00+05:30,2017-11-29T00:00:00+05:30,149-109964,600795-2,37.0,138.0,1
57,MUTHSANDRA,490786,9,Hosakote,DEVANAGUNDI,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,186617,2019-03-13T00:00:00+05:30,2019-03-14T00:00:00+05:30,2019-03-13T00:00:00+05:30,125-186617,490786-9,38.0,117.0,1
58,Hattargi,98530,6,Hukkeri,Hebbal,10500,Solar Light Selco,SB2HLS,2 CFL,SKDRDP,SELCO,161606,2018-07-21T00:00:00+05:30,2018-07-25T00:00:00+05:30,2018-07-21T00:00:00+05:30,46-161606,98530-6,43.0,44.0,1
59,Bharathinagara,396431,1,Maddur,BHARATHINAGARA,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,90615,2017-09-27T00:00:00+05:30,2017-10-03T00:00:00+05:30,2017-09-27T00:00:00+05:30,106-90615,396431-1,38.0,98.0,1
60,Majati,96419,7,Hukkeri,Daddi,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,173594,2018-09-24T00:00:00+05:30,2018-09-24T00:00:00+05:30,2018-09-24T00:00:00+05:30,46-173594,96419-7,38.0,44.0,1
61,Talikota TMC,947279,6,Muddebihal,TALIKOTI,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,71715,2019-03-23T00:00:00+05:30,2019-03-28T00:00:00+05:30,2019-03-23T00:00:00+05:30,160-71715,947279-6,38.0,148.0,1
62,Kekkera,997125,2,Shorapur,Kekkera,10500,Solar Light Selco,SB2HLS,2 CFL,SKDRDP,SELCO,72677,2018-07-03T00:00:00+05:30,2018-07-10T00:00:00+05:30,2018-07-03T00:00:00+05:30,170-72677,997125-2,43.0,158.0,1
63,Ingaleshwar,940790,8,Basavan Bagevadi,Ingaleshwar,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,62745,2018-11-05T000000+0530,2018-11-12T000000+0530,2018-11-05T000000+0530,159-62745,940790-8,38.0,147.0,1
64,Soravanahalli,23176,1,Turuvekere,Soravanahalli,15750,Solar Light Selco,SB4HLS,4 CFL,SKDRDP,SELCO,66722,2017-10-07T00:00:00+05:30,2017-10-10T00:00:00+05:30,2017-10-07T00:00:00+05:30,58-66722,23176-1,44.0,56.0,1
65,Hirekodi,87312,11,Chikodi,Chikkodi,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,168616,2018-06-18T00:00:00+05:30,2018-06-18T00:00:00+05:30,2018-06-18T00:00:00+05:30,45-168616,87312-11,38.0,43.0,1
66,Hireguntanur,328022,14,Chitradurga,Hireguntnuru,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,248263,2018-06-13T00:00:00+05:30,2018-06-13T00:00:00+05:30,2018-06-13T00:00:00+05:30,81-248263,328022-14,38.0,78.0,1
67,Hiremarali,385287,12,Pandavapura,HALEBEEDU,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,173998,2019-01-22T00:00:00+05:30,2019-01-24T00:00:00+05:30,2019-01-22T00:00:00+05:30,104-173998,385287-12,38.0,96.0,1
68,Bannangadi,386625,3,Pandavapura,ARALAKUPPE,1240,Cook Stove GSSV3,GSSV3,,SKDRDP,Greenway Grameena Infra,114254,2017-12-20T00:00:00+05:30,2018-01-02T00:00:00+05:30,2017-12-20T00:00:00+05:30,104-114254,386625-3,37.0,96.0,1
69,Devadana,860242,5,Moodigere,Khandya,15750,Solar Light Selco,SB4HLS,4 CFL,SKDRDP,SELCO,246584,2018-01-18T00:00:00+05:30,2018-01-22T00:00:00+05:30,2018-01-18T00:00:00+05:30,6-246584,860242-5,44.0,6.0,1
70,Lalandevanahalli,203482,2,Krishnarajnagara,HAMPAPURA,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,128618,2018-07-24T00:00:00+05:30,2018-07-27T00:00:00+05:30,2018-07-24T00:00:00+05:30,71-128618,203482-2,38.0,68.0,1
71,Hegathuru,207261,17,Arkalgud,KONANUR,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,189715,2018-11-05T000000+0530,2018-11-16T000000+0530,2018-11-05T000000+0530,68-189715,207261-17,38.0,65.0,1
72,Kodla,990487,8,Sedam,Kodla,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,121239,2019-03-08T00:00:00+05:30,2019-03-12T00:00:00+05:30,2019-03-08T00:00:00+05:30,169-121239,990487-8,38.0,157.0,1
73,"W/o, Sayeedbasha, Ankanahalli, Piriyapattana",901419,1,Piriyapatna,Chittenahalli,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,286040,2018-09-01T00:00:00+05:30,2018-09-07T00:00:00+05:30,2018-09-01T00:00:00+05:30,152-286040,901419-1,38.0,140.0,1
74,Kadahinabailu,851990,4,Koppa,Shettykoppa,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,274260,2018-01-16T00:00:00+05:30,2018-01-17T00:00:00+05:30,2018-01-16T00:00:00+05:30,22-274260,851990-4,38.0,22.0,1
75,Kodiyala,654167,1,Sullia,Bellare,43750,Solar Light Selco,S14HLS,10 CFL + 2 Fan,SKDRDP,SELCO,318558,2018-01-16T00:00:00+05:30,2018-01-17T00:00:00+05:30,2018-01-16T00:00:00+05:30,4-318558,654167-1,41.0,4.0,1
76,BatgeraB,990881,2,Sedam,Adaki,10500,Solar Light Selco,SB2HLS,2 CFL,SKDRDP,SELCO,121717,2019-03-14T00:00:00+05:30,2019-03-18T00:00:00+05:30,2019-03-14T00:00:00+05:30,169-121717,990881-2,43.0,157.0,1
77,Kalanja,650602,12,Sullia,Bellare,15700,Solar Light Selco,SB4HLS,4 CFL,SKDRDP,SELCO,285941,2017-10-09T00:00:00+05:30,2017-10-12T00:00:00+05:30,2017-10-09T00:00:00+05:30,4-285941,650602-12,44.0,4.0,1
78,Yamakanamaradi,97946,4,Hukkeri,Hebbal,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,172745,2018-09-19T00:00:00+05:30,2018-09-26T00:00:00+05:30,2018-09-19T00:00:00+05:30,46-172745,97946-4,38.0,44.0,1
79,Shidlaghatta Rural,557123,3,Shidlaghatta,Shidlaghatta A,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,79164,2018-06-09T00:00:00+05:30,2018-06-11T00:00:00+05:30,2018-06-09T00:00:00+05:30,140-79164,557123-3,38.0,129.0,1
80,Hebballi A,113974,5,Navalgunda,Amminabavi,10500,Solar Light Selco,SB2HLS,2 CFL,SKDRDP,SELCO,138164,2019-01-21T00:00:00+05:30,2019-01-22T00:00:00+05:30,2019-01-21T00:00:00+05:30,32-138164,113974-5,43.0,32.0,1
81,Abbinaholle,321085,3,Hiriyur,Babbur,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,259465,2018-11-12T000000+0530,2018-11-13T000000+0530,2018-11-12T000000+0530,79-259465,321085-3,38.0,76.0,1
82,RAMPURA,595908,3,Channapatna,THITTAMARANAHALLI,1240,Cook Stove GSSV3,GSSV3,,SKDRDP,Greenway Grameena Infra,84035,2017-10-18T00:00:00+05:30,2017-10-26T00:00:00+05:30,2017-10-18T00:00:00+05:30,148-84035,595908-3,37.0,137.0,1
83,Bhujanganagara A,425661,12,Sandoor,Taranagara,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,106153,2018-09-11T00:00:00+05:30,2018-09-12T00:00:00+05:30,2018-09-11T00:00:00+05:30,112-106153,425661-12,38.0,104.0,1
84,VIDYANAGARA,348120,13,Hasana,SATHYAMANGALA,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,262538,2019-03-11T00:00:00+05:30,2019-03-18T00:00:00+05:30,2019-03-11T00:00:00+05:30,132-262538,348120-13,38.0,123.0,1
85,Gogeri,1035980,3,Rona,Gajendragada,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,126228,2019-03-14T00:00:00+05:30,2019-03-20T00:00:00+05:30,2019-03-14T00:00:00+05:30,36-126228,1035980-3,38.0,36.0,1
86,M.k.Hubli,60142,2,Kittur,M.K.Hubli,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,137891,2019-01-02T00:00:00+05:30,2019-01-07T00:00:00+05:30,2019-01-02T00:00:00+05:30,209-137891,60142-2,38.0,2574.0,1
87,B Matakere  Village Panchayatha,226185,7,Heggadevanakote,HANCHIPURA,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,127363,2019-01-04T00:00:00+05:30,2019-01-07T00:00:00+05:30,2019-01-04T00:00:00+05:30,66-127363,226185-7,38.0,63.0,1
88,S.M Krishnagara,1023056,1,Hubli,Gabbur,9000,Solar Light Selco,EH2HLS,2 LED Light,SKDRDP,SELCO,267640,2018-05-30T00:00:00+05:30,2018-06-01T00:00:00+05:30,2018-05-30T00:00:00+05:30,31-267640,1023056-1,35.0,31.0,1
89,"S/o Somappa Gawda Kallje, Nalkoru",650203,5,Sullia,Guthigaru,45000,Solar Light Selco,S14HLS,10 CFL + 2 Fan,SKDRDP,SELCO,353918,2018-09-22T00:00:00+05:30,2018-09-25T00:00:00+05:30,2018-09-22T00:00:00+05:30,4-353918,650203-5,41.0,4.0,1
90,Anandanagar,108238,14,Hubli,AnandaNagar,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,375493,2019-02-27T00:00:00+05:30,2019-03-01T00:00:00+05:30,2019-02-27T00:00:00+05:30,31-375493,108238-14,38.0,31.0,1
91,Hosakere,13793,6,Gubbi,Hoskere,15500,Solar Light Selco,SH4HLS,4 COMBI Light,SKDRDP,SELCO,119622,2018-08-31T00:00:00+05:30,2018-09-05T00:00:00+05:30,2018-08-31T00:00:00+05:30,60-119622,13793-6,50.0,58.0,1
92,Chennaina Kote,881846,15,Virajpet,Ammathi,15500,Solar Light Selco,SH4HLS,4 COMBI Light,SKDRDP,SELCO,383433,2017-12-23T00:00:00+05:30,2017-12-29T00:00:00+05:30,2017-12-23T00:00:00+05:30,28-383433,881846-15,50.0,28.0,1
93,Hosur,202279,7,Krishnarajnagara,Chunchanakatte,1240,Cook Stove GSSV3,GSSV3,,SKDRDP,Greenway Grameena Infra,80546,2017-09-29T00:00:00+05:30,2017-10-02T00:00:00+05:30,2017-09-29T00:00:00+05:30,71-80546,202279-7,37.0,68.0,1
94,Chikkabagewadi,910993,5,Bailahongal,Chickbhagewadi,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,137108,2018-09-18T00:00:00+05:30,2018-09-19T00:00:00+05:30,2018-09-18T00:00:00+05:30,50-137108,910993-5,38.0,48.0,1
